iter	Passed	Remaining
713	125116	50116
714	125369	49972
715	125521	49787
716	125667	49600
717	125816	49415
718	125965	49229
719	126142	49055
720	126295	48871
721	126448	48688
722	126606	48506
723	126758	48322
724	126911	48138
725	127058	47953
726	127250	47784
727	127428	47610
728	127587	47429
729	127758	47253
730	127924	47074
731	128091	46897
732	128274	46724
733	128455	46552
734	128629	46376
735	128811	46204
736	129090	46066
737	129252	45886
738	129440	45715
739	129622	45543
740	129807	45371
741	129968	45191
742	130130	45011
743	130306	44836
744	130474	44659
745	130639	44480
746	130803	44301
747	130959	44120
748	131127	43942
749	131301	43767
750	131455	43585
751	131636	43412
752	131801	43233
753	131984	43061
754	132245	42914
755	132420	42738
756	132585	42560
757	132754	42383
758	132907	42201
759	133074	42023
760	133232	41843
761	133400	41665
762	133571	41489
763	133743	41313
764	133902	41133
765	134076	40958
766	134235	40778
767	134415	40604
768	134613	40436
769	134792	40262
770	134968	40088
