iter	PRAUC	Logloss
244	0.943050029	0.3049945584
245	0.9431355932	0.3047534087
246	0.9431788675	0.3046081336
247	0.9432387477	0.3044320475
248	0.9433127517	0.3042179583
249	0.943357413	0.3040057183
250	0.9433642691	0.3039847672
251	0.9434283483	0.3038383068
252	0.94356424	0.3034688091
253	0.9436405558	0.3032657884
254	0.9437770485	0.3029658671
255	0.9437875963	0.302940918
256	0.9439530881	0.3025103798
257	0.9440325087	0.3022680533
258	0.9441128043	0.3020513851
259	0.9441411617	0.3019087772
260	0.9442321104	0.3016354862
261	0.9442855291	0.3014801153
262	0.9444062646	0.3012247583
263	0.9444093164	0.3012033231
264	0.9444197883	0.3011830642
265	0.9444422033	0.3011384244
266	0.944530717	0.3008733898
267	0.9445720477	0.3007184642
268	0.9446260955	0.3005597196
269	0.9447008942	0.3002997301
270	0.9447052764	0.3002506776
271	0.9447052764	0.3002506774
272	0.944807	0.3000524058
273	0.9448042638	0.3000374375
274	0.9448456778	0.2998754223
275	0.9448489288	0.2998661461
276	0.9448657078	0.2998100645
277	0.9449405632	0.2995696924
278	0.9450705509	0.2992555158
279	0.9450739118	0.2992333279
280	0.9450699971	0.2992209079
281	0.9451377655	0.2990248774
282	0.9451471218	0.2989942974
283	0.9452097513	0.2987987048
284	0.9452819351	0.2986283721
285	0.9453073104	0.2985214891
286	0.9453436072	0.2983852752
287	0.9454228948	0.2981607013
288	0.9455008724	0.2979814494
289	0.9455402578	0.2977868412
290	0.9456777811	0.2974419811
291	0.9457397378	0.297226125
292	0.945785676	0.2970765465
293	0.9458775099	0.2968263293
294	0.9458775099	0.2968263291
295	0.9460109374	0.2964307263
296	0.946067813	0.2962818213
297	0.9461181646	0.2961031813
298	0.9461902911	0.295915607
299	0.9462342997	0.2957991027
300	0.946342272	0.2955724687
301	0.9464029598	0.2954148306
302	0.9464761537	0.2951936412
303	0.9465500315	0.2950319327
304	0.9466242452	0.2947767268
305	0.9466839074	0.2945991082
306	0.9466844622	0.2945743119
307	0.9467733863	0.2942964186
308	0.9467989402	0.2942505399
309	0.9468580277	0.2940769553
310	0.9469313617	0.2938291222
311	0.946978963	0.2936717166
312	0.9470519029	0.2934432952
313	0.9470619258	0.2934176277
314	0.9470591886	0.2933953933
315	0.9471275438	0.2931927618
316	0.9471908814	0.2930132229
317	0.9472885728	0.2927760231
318	0.9473415981	0.2925942115
319	0.9474149942	0.2924310978
320	0.9474177258	0.2924226568
321	0.9475105767	0.2922781807
322	0.9475839402	0.2920681005
323	0.947622895	0.2919382135
324	0.9477011856	0.2916911612
325	0.9477394152	0.291580389
326	0.9477965544	0.2914301029
327	0.9478577925	0.2912399947
328	0.9479829793	0.290823477
329	0.9480784566	0.2906125693
330	0.948086406	0.2905891097
331	0.9481266494	0.2904588377
332	0.948165547	0.2903139411
333	0.9482008363	0.2902282734
334	0.9482258755	0.2901358267
335	0.948240317	0.2900375096
336	0.9482814676	0.2898824492
337	0.9482824391	0.2898804733
338	0.9483959229	0.2895134391
339	0.9484903827	0.2892380106
340	0.9484986264	0.2892030182
341	0.9485686625	0.2889188869
342	0.948627583	0.288721146
343	0.9487680499	0.2882733005
344	0.948851862	0.2879894195
345	0.9489077736	0.2878596971
346	0.9489431093	0.2876989792
347	0.9490614587	0.287382955
